tweet_id,text,author,timestamp,fave_count,retweet_count,is_verified,media_urls,location,credibility_score
1234567890,"Breaking: Heavy rainfall expected in Mumbai over the next 48 hours. Residents in low-lying areas advised to take precautions. #MumbaiRains #MumbaiWeather","MumbaiWeather",2026-01-21T10:30:00Z,1250,450,True,"[],Mumbai,0.85
1234567891,"Official: Flood warning issued for Andheri and Dadar. Schools to remain closed tomorrow as precautionary measure. Citizens advised to stay indoors unless necessary. #BMC #MumbaiFloods","BMC_Official",2026-01-21T11:15:00Z,3400,890,True,"['https://example.com/flood-map.jpg','https://example.com/bmc-alert.jpg']",Mumbai,0.92
1234567892,"I just heard schools are closing tomorrow due to heavy rains! Can anyone confirm? #Breaking #Mumbai","randomuser123",2026-01-21T11:30:00Z,45,12,False,[],None,0.35
1234567893,"IMD Update: Forecast predicts 200mm rainfall in 24 hours across Mumbai Metropolitan Region. Orange alert issued for coastal areas. Stay safe and follow official updates. #WeatherAlert #IMD","IMD_Updates",2026-01-21T09:00:00Z,8900,2100,True,[],Mumbai,0.95
1234567894,"Train services disrupted between CSMT and Dadar due to water logging on tracks. Alternative arrangements being made. Please check Western Railway app for updates. #MumbaiLocal","RailwayUpdates",2026-01-21T12:00:00Z,2300,670,True,[],Mumbai,0.88
1234567895,"MASSIVE FLOOD IN MUMBAI!! Everything underwater!! Share this NOW!! #Urgent #Breaking","fakeuser999",2026-01-21T11:45:00Z,120,5,False,"['https://example.com/stock-flood.jpg']",None,0.15
1234567896,"Bridge collapse reported near Kurla. Traffic police are on scene. Avoid the area. More details awaited. #MumbaiTraffic","MumbaiPolice",2026-01-21T12:30:00Z,5600,1450,True,"['https://example.com/kurla-bridge.jpg']",Mumbai,0.80
1234567897,"Government deploys NDRF teams across Mumbai Metropolitan Region for flood relief operations. Emergency helpline: 1077. Stay safe Mumbai! #MumbaiRains #DisasterResponse","CMO_Maharashtra",2026-01-21T13:00:00Z,12000,3200,True,[],Maharashtra,0.93
1234567898,"Power outages reported in several parts of South Mumbai. BEST team working to restore. Expected restoration in 2-3 hours. #MumbaiPower","BEST_Mumbai",2026-01-21T13:30:00Z,890,210,True,[],Mumbai,0.90
1234567899,"Free medical camps set up at 15 locations across Mumbai. Free transportation available for elderly and patients. Contact BMC helpline: 1916 for assistance. #MumbaiFloods","BMC_Health",2026-01-21T14:00:00Z,4500,980,True,"['https://example.com/medical-camps.jpg']",Mumbai,0.91
1234567890,"JUST ANNOUNCED: Maharashtra Assembly elections to be held in November 2026. BJP and MVA alliances begin seat-sharing discussions. #MaharashtraPolitics","ElectionWatch",2026-01-20T16:00:00Z,15000,4500,True,[],India,0.92
1234567891,"I heard the elections are postponed! Can anyone confirm this??","randomuser456",2026-01-20T16:30:00Z,23,5,False,[],None,0.20
1234567892,"Chief Minister announces: Development package of ₹5000 crore for flood-affected areas. Relief distribution to begin immediately. #Maharashtra #Development","CMO_Maharashtra",2026-01-22T09:00:00Z,8900,2100,True,[],India,0.94
1234567893,"Opposition parties demand special session to discuss flood situation. Assembly speaker to take decision tomorrow. #MaharashtraAssembly","AssemblyUpdates",2026-01-22T10:30:00Z,3400,890,True,[],India,0.88
1234567894,"EVM distribution begins across all 288 constituencies. First phase of polling scheduled for October 15th. #Elections2026","ElectionCommission",2026-01-15T10:00:00Z,7800,1900,True,[],India,0.93
1234567895,"BREAKING: Prime Minister to visit Mumbai tomorrow to review flood situation. Aerial survey planned. #Mumbai #PMVisit","PMO_India",2026-01-22T08:00:00Z,25000,6000,True,"['https://example.com/pm-visit.jpg']",India,0.96
1234567896,"Rescue operations ongoing: 5000 people evacuated from low-lying areas. NDRF and Coast Guard teams deployed. #MumbaiFloods #DisasterRelief","NDRF_India",2026-01-22T11:00:00Z,6700,1450,True,"['https://example.com/rescue-ops.jpg','https://example.com/evacuation.jpg']",Mumbai,0.94
1234567897,"Weather update: Rainfall intensity decreasing. Yellow alert now in effect for Mumbai. Heavy rain expected to stop by evening. #MumbaiWeather","IMD_Updates",2026-01-22T14:00:00Z,4500,1200,True,[],Mumbai,0.91
1234567897,"All schools and colleges in Mumbai to remain closed for 2 more days. Online classes to continue where possible. #Education #MumbaiFloods","EducationDept_MH",2026-01-22T16:00:00Z,2300,670,True,[],Maharashtra,0.89
